Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Strand	Chromosome/scaffold name
ENSMUSG00000079058	43650309	43710049	Adam34	-1	8
ENSMUSG00000112923	103429910	103430735	Gm8768	1	10
ENSMUSG00000025823	47796141	47813430	Pdia4	-1	6
ENSMUSG00000095141	60241202	60273250	Gm28891	1	Y
ENSMUSG00000110347	43749052	43750400	Gm45657	-1	8
ENSMUSG00000017211	98646759	98657964	Gsdma2	1	11
ENSMUSG00000022844	35397312	35490873	Pdia5	-1	16
ENSMUSG00000118612	27301447	27301683	AL589679.1	1	13
ENSMUSG00000112594	50813725	50813990	Gm48333	1	10
ENSMUSG00000109723	43673721	43676047	Gm5347	-1	8
ENSMUSG00000086698	27292616	27306032	4930511O05Rik	1	13
ENSMUSG00000055305	24270420	24277794	Zfp93	1	7
ENSMUSG00000030105	108783099	108825278	Arl8b	1	6
ENSMUSG00000107647	52560552	52563234	Gm44445	1	6
ENSMUSG00000107813	52599501	52603245	Gm44434	-1	6
ENSMUSG00000080885	37295155	37295796	Rpl10-ps6	-1	19
ENSMUSG00000029776	52546228	52640389	Hibadh	-1	6
ENSMUSG00000056999	37268743	37337852	Ide	-1	19
ENSMUSG00000001588	69881567	69895539	Acap1	-1	11
ENSMUSG00000028777	17962549	18019834	Gnat3	1	5
ENSMUSG00000083096	27306712	27306903	Gm11356	1	13
ENSMUSG00000096538	29351836	29376221	Gm21853	1	Y
ENSMUSG00000108416	27433136	27434369	Gm44924	1	7
ENSMUSG00000118346	8772525	8774467	Tmem179b	-1	19
ENSMUSG00000052419	13867735	13871518	2610001J05Rik	-1	6
ENSMUSG00000096052	26670010	26670507	9930004E17Rik	1	14
ENSMUSG00000082110	78585161	78585555	Gm11196	-1	11
ENSMUSG00000023439	124834240	124840275	Gnb3	-1	6
ENSMUSG00000089832	27342133	27356019	Shkbp1	-1	7
ENSMUSG00000080180	78576237	78577355	Gm17235	1	11
ENSMUSG00000057149	111751006	111758852	Olfr1301	1	2
ENSMUSG00000091014	12846682	12847424	Gm5244	1	19
ENSMUSG00000095612	113597446	113597977	Ighv5-4	-1	12
ENSMUSG00000086501	44586317	44591229	4930597A21Rik	1	11
ENSMUSG00000085902	50720082	50725544	Gm12200	-1	11
ENSMUSG00000021111	105784694	105838944	Papola	1	12
ENSMUSG00000112495	118346271	118348679	Gm9048	-1	10
ENSMUSG00000080889	55175816	55196233	Gm7974	1	X
ENSMUSG00000102563	44610837	44617016	Gm37695	-1	11
ENSMUSG00000044560	111777429	111782700	Olfr1302	1	2
ENSMUSG00000102263	49062378	49085259	Gm31415	1	3
ENSMUSG00000087080	50717670	50718915	Gm12199	-1	11
ENSMUSG00000112636	103507362	103566565	Gm47223	1	10
ENSMUSG00000094557	47815300	47815632	Rpl35a-ps7	-1	6
ENSMUSG00000083423	9270080	9270509	Gm13221	-1	2
ENSMUSG00000112839	103569209	103569401	Gm47222	-1	10
ENSMUSG00000112644	103567646	103568051	Gm47220	1	10
ENSMUSG00000099348	29395248	29395694	Gm28132	1	Y
ENSMUSG00000112319	103512928	103571685	Gm47221	1	10
ENSMUSG00000112919	118351697	118354105	Gm9049	-1	10
ENSMUSG00000046272	12857283	12863440	Olfr1444	1	19
ENSMUSG00000072982	51085087	51091833	9230009I02Rik	1	11
ENSMUSG00000052428	167308378	167333978	Tmco1	1	1
ENSMUSG00000091350	18151887	18188886	Vmn2r92	1	17
ENSMUSG00000107562	13913155	13913448	Gm44412	-1	6
ENSMUSG00000020935	102994047	103028333	Dcakd	-1	11
ENSMUSG00000107942	14006007	14006355	Gm44411	1	6
ENSMUSG00000080918	51099011	51113200	Gm12202	-1	11
ENSMUSG00000042340	127712736	127718192	Ctf1	1	7
ENSMUSG00000097616	13871526	14044385	1110019D14Rik	1	6
ENSMUSG00000093768	126891622	126897236	Gm20650	1	7
ENSMUSG00000118444	24288309	24289313	Gm50477	1	7
ENSMUSG00000083156	51106631	51107869	Gm12201	1	11
ENSMUSG00000106833	127763748	127763973	Gm42739	1	6
ENSMUSG00000079604	9352431	9447676	Gm13219	1	2
ENSMUSG00000051499	47819266	47830867	Zfp786	-1	6
ENSMUSG00000118477	24287316	24288636	Gm18126	-1	7
ENSMUSG00000060538	126886171	126922917	Tmem219	-1	7
ENSMUSG00000030350	127689011	127769472	Prmt8	-1	6
ENSMUSG00000099429	35503170	35509419	1600019K03Rik	-1	16
ENSMUSG00000024617	60925618	60988152	Camk2a	1	18
ENSMUSG00000098173	103581398	103582393	Gm26923	-1	10
ENSMUSG00000112554	103856267	103858332	Gm47224	-1	10
ENSMUSG00000031906	106252548	106337988	Smpd3	-1	8
ENSMUSG00000108170	52713344	52713955	Gm43966	-1	6
ENSMUSG00000020708	106256154	106263120	Psmc5	1	11
ENSMUSG00000004535	52713729	52766780	Tax1bp1	1	6
ENSMUSG00000090417	18241122	18277756	Vmn2r94	-1	17
ENSMUSG00000031447	13159161	13175338	Lamp1	1	8
ENSMUSG00000110977	8848146	8850615	Gm48598	-1	7
ENSMUSG00000060034	127718106	127732166	Ctf2	-1	7
ENSMUSG00000101910	60335115	60338347	Gm28691	1	Y
ENSMUSG00000045205	11261315	11322137	Dpy19l4	-1	4
ENSMUSG00000045126	12883855	12884855	Olfr1445	1	19
ENSMUSG00000114771	67226997	67229969	Gm49064	-1	13
ENSMUSG00000042359	76406508	76600647	Osbpl6	1	2
ENSMUSG00000074887	43214039	43226842	EU599041	1	7
ENSMUSG00000111251	40548892	40549574	Gm18671	1	10
ENSMUSG00000100579	60364506	60366868	Gm28692	1	Y
ENSMUSG00000058904	92571322	92574397	Olfr1413	1	1
ENSMUSG00000096576	87602688	87608850	Oog1	1	12
ENSMUSG00000111108	40565916	40566672	Gm17795	-1	10
ENSMUSG00000106905	127772373	127774650	Gm42741	-1	6
ENSMUSG00000015966	29996135	30008896	Il17rb	-1	14
ENSMUSG00000107253	127644440	127657925	Gm43634	1	6
ENSMUSG00000097001	92572374	92572749	1700054K02Rik	-1	1
ENSMUSG00000061414	127561338	127674248	Cracr2a	1	6
ENSMUSG00000092188	163280356	163287045	Gm20471	1	1
ENSMUSG00000099363	92574614	92574796	Gm28478	1	1
ENSMUSG00000096530	73872219	73876266	Gm11758	-1	4
ENSMUSG00000103195	163306798	163309067	Gm37644	-1	1
ENSMUSG00000093804	111812247	111820340	Olfr1303	-1	2
ENSMUSG00000046798	5489537	5514958	Cldn12	-1	5
ENSMUSG00000080764	45403691	45404845	Gm14606	-1	X
ENSMUSG00000092584	9519901	9523828	Gm18199	-1	7
ENSMUSG00000025880	75367529	75395935	Smad7	1	18
ENSMUSG00000112570	103893538	103893806	Gm47225	1	10
ENSMUSG00000109423	111823228	111823416	Olfr1304-ps1	-1	2
ENSMUSG00000101466	62603763	62604456	Gm29548	-1	Y
ENSMUSG00000112281	103986993	103987906	Gm47226	1	10
ENSMUSG00000083059	111844262	111851838	Olfr268-ps1	-1	2
ENSMUSG00000112403	104082225	104082341	Gm47227	1	10
ENSMUSG00000081129	45497853	45498874	Gm14605	-1	X
ENSMUSG00000112382	104096323	104096761	Gm47228	-1	10
ENSMUSG00000096294	9546769	9572288	Gm10302	-1	7
ENSMUSG00000101614	62648296	62651535	Gm29547	1	Y
ENSMUSG00000040729	8076461	8134294	Cep126	-1	9
ENSMUSG00000079698	18298099	18331914	Vmn2r93	1	17
ENSMUSG00000045751	24496451	24602950	Mms22l	1	4
ENSMUSG00000100307	62717008	62741658	Gm29546	1	Y
ENSMUSG00000073678	54472994	54557684	Pgap1	-1	1
ENSMUSG00000049957	120458115	120464358	Ccdc137	1	11
ENSMUSG00000096293	9642621	9658337	Gm3683	-1	7
ENSMUSG00000118208	65715049	65715390	Gm50234	-1	18
ENSMUSG00000046610	65698268	65751601	Oacyl	1	18
ENSMUSG00000038515	13172022	13200620	Grtp1	-1	8
ENSMUSG00000054247	34965052	34967727	Gm9939	1	8
ENSMUSG00000039840	77938465	78035013	Epg5	1	18
ENSMUSG00000118263	5305875	5307416	Gm42064	-1	19
ENSMUSG00000089984	137612503	137629002	Fbxo24	-1	5
ENSMUSG00000047658	5298331	5308738	Gal3st3	1	19
ENSMUSG00000107042	127776084	127778321	4921513H07Rik	-1	6
ENSMUSG00000107219	127767542	127768905	Gm42738	1	6
ENSMUSG00000073725	24678630	24766301	Lmbrd1	1	1
ENSMUSG00000031529	34826460	34965690	Tnks	-1	8
ENSMUSG00000103111	113603460	113603928	Ighv6-1	-1	12
ENSMUSG00000107794	92007550	92009480	Gm44095	1	6
ENSMUSG00000087317	92012394	92016117	4930466I24Rik	-1	6
ENSMUSG00000072905	87874072	87877859	Gm2016	1	12
ENSMUSG00000039936	149649168	149702571	Pik3cd	-1	4
ENSMUSG00000091779	104142987	104153674	Gm21293	1	10
ENSMUSG00000034037	91978878	92076004	Fgd5	1	6
ENSMUSG00000116102	15871829	15872159	Gm20082	1	16
ENSMUSG00000101882	62802222	62802915	Gm29545	-1	Y
ENSMUSG00000114101	87786283	87786943	Gm48152	1	12
ENSMUSG00000103599	13012624	13014236	Gm37356	1	2
ENSMUSG00000113951	87841837	87842339	Gm2001	-1	12
ENSMUSG00000103143	13036126	13040104	Gm37742	1	2
ENSMUSG00000113280	87765449	87766303	Gm21559	-1	12
ENSMUSG00000067909	55226876	55243723	Slxl1	1	X
ENSMUSG00000092019	87618869	87622955	Gm4027	1	12
ENSMUSG00000099585	62839197	62839509	Gm29544	-1	Y
ENSMUSG00000097427	104151497	104153965	Gm6763	1	10
ENSMUSG00000102384	73948423	73958042	Gm38143	1	7
ENSMUSG00000086837	20511133	20517766	Gm16618	-1	16
ENSMUSG00000101668	62878705	62881941	Gm29549	1	Y
ENSMUSG00000108375	73945377	73947534	Gm45003	-1	7
ENSMUSG00000021916	31001400	31011991	Glt8d1	1	14
ENSMUSG00000003233	20516982	20534010	Dvl3	1	16
ENSMUSG00000025789	73939119	74013690	St8sia2	-1	7
ENSMUSG00000113025	87889167	87889640	Gm49363	1	12
ENSMUSG00000113991	87827710	87828118	Gm48151	1	12
ENSMUSG00000091631	18424078	18460905	Vmn2r95	1	17
ENSMUSG00000114059	87629993	87630401	Gm48153	1	12
ENSMUSG00000113129	87767802	87771954	Gm21569	-1	12
ENSMUSG00000112949	87781143	87783915	Gm21939	1	12
ENSMUSG00000101182	62874899	62885362	Gm29209	-1	Y
ENSMUSG00000108036	52722630	52722930	Gm43967	-1	6
ENSMUSG00000114074	87763959	87764316	Gm48150	-1	12
ENSMUSG00000094317	55311386	55326515	Gm6660	1	X
ENSMUSG00000118500	87761121	87761442	AC211878.1	1	12
ENSMUSG00000083312	51142532	51143467	Olfr1374-ps1	1	11
ENSMUSG00000099578	33423670	33424150	Gm5731	1	7
ENSMUSG00000042251	131797381	131821473	Pm20d1	1	1
ENSMUSG00000113127	87808537	87809024	Gm48154	1	12
ENSMUSG00000118009	5321606	5321798	Gm50208	1	19
ENSMUSG00000081296	51175225	51175822	Gm12203	-1	11
ENSMUSG00000113206	87633281	87643442	Gm3742	-1	12
ENSMUSG00000101975	33443029	33444811	Scgb1b34-ps	-1	7
ENSMUSG00000113971	87895370	87895804	Gm2022	1	12
ENSMUSG00000093519	9676386	9701998	Gm20345	-1	7
ENSMUSG00000113912	87759158	87759375	Gm21937	1	12
ENSMUSG00000100360	3846545	3853545	Gm28649	-1	Y
ENSMUSG00000113815	87796883	87797144	Gm48149	1	12
ENSMUSG00000034442	73280011	73286710	Trmt5	-1	12
ENSMUSG00000117807	5324014	5325823	Gm7074	1	19
ENSMUSG00000113286	87865785	87868203	Gm18627	1	12
ENSMUSG00000096127	55431819	55446793	Gm14625	1	X
ENSMUSG00000113011	87861366	87863967	Gm1995	1	12
ENSMUSG00000051735	28788969	28798963	Rinl	1	7
ENSMUSG00000109661	9714224	9714485	Gm3690	-1	7
ENSMUSG00000113201	87795512	87795946	Gm21936	1	12
ENSMUSG00000113685	87831002	87841162	Gm21038	-1	12
ENSMUSG00000079031	87816577	87820676	BB287469	1	12
ENSMUSG00000085839	66985091	66985641	Gm15949	-1	5
ENSMUSG00000099838	3859067	3859672	Gm8521	1	Y
ENSMUSG00000106749	66916008	66918711	Gm43281	1	5
ENSMUSG00000086964	66988816	66991207	Gm15948	-1	5
ENSMUSG00000117305	18476532	18476654	Gm49963	-1	17
ENSMUSG00000031098	142434850	142440396	Syt8	1	7
ENSMUSG00000081228	137615627	137615962	Gm16089	1	5
ENSMUSG00000093775	18493751	18494999	Vmn2r-ps114	1	17
ENSMUSG00000106617	137612852	137615247	Gm36266	1	5
ENSMUSG00000022553	76351294	76354380	Maf1	1	15
ENSMUSG00000021213	4191150	4205596	Akr1c13	1	13
ENSMUSG00000113489	87644118	87644620	Gm16381	-1	12
ENSMUSG00000057594	120464866	120467607	Arl16	-1	11
ENSMUSG00000029718	137605103	137613784	Pcolce	-1	5
ENSMUSG00000037736	66745827	67057158	Limch1	1	5
ENSMUSG00000091679	18573151	18616003	Vmn2r96	1	17
ENSMUSG00000095724	87772425	87775755	Gm21319	-1	12
ENSMUSG00000104136	54518610	54520270	Gm36955	-1	1
ENSMUSG00000015971	29978337	30006354	Actr8	1	14
ENSMUSG00000104186	49137463	49138527	Gm37819	1	3
ENSMUSG00000107599	82991645	82993111	Gm43981	1	6
ENSMUSG00000055480	67254918	67278466	Zfp458	-1	13
ENSMUSG00000107829	82990823	82991579	Gm43985	-1	6
ENSMUSG00000030041	82946902	83030309	M1ap	1	6
ENSMUSG00000020864	94328001	94341841	Ankrd40	1	11
ENSMUSG00000037957	110737944	110804238	Wdr20	1	12
ENSMUSG00000116385	16099598	16100111	Gm18334	1	16
ENSMUSG00000041974	15889224	16146851	Spidr	-1	16
ENSMUSG00000113931	12425140	12425605	Gm5928	-1	13
ENSMUSG00000097878	104160006	104162473	Gm8764	1	10
ENSMUSG00000050244	12395027	12440289	Heatr1	1	13
ENSMUSG00000025290	24487125	24496959	Rps24	1	14
ENSMUSG00000113211	52096741	52124158	4921525O09Rik	1	13
ENSMUSG00000113399	52180411	52181637	Gm48199	1	13
ENSMUSG00000052192	35573321	35573556	Gm5963	-1	16
ENSMUSG00000052133	35541145	35664732	Sema5b	1	16
ENSMUSG00000107701	82952780	82953137	Gm19287	1	6
ENSMUSG00000024837	25505618	25604329	Dmrt1	1	19
ENSMUSG00000099900	33518481	33520458	Scgb2b21	-1	7
ENSMUSG00000092367	27352649	27357419	Gm20479	-1	7
ENSMUSG00000109717	34967274	34979874	Gm34368	-1	8
ENSMUSG00000095487	33527376	33528558	Scgb1b21	1	7
ENSMUSG00000083568	33567253	33567714	Gm12770	-1	7
ENSMUSG00000073018	71293765	71302880	Gm1070	1	6
ENSMUSG00000081155	33568156	33568290	Gm12771	1	7
ENSMUSG00000040657	122391379	122392687	1700063H04Rik	1	6
ENSMUSG00000078451	41490439	41514286	Ppil6	1	10
ENSMUSG00000066513	44207435	44211754	Klk1b4	1	7
ENSMUSG00000118448	122372906	122409075	Gm50492	-1	6
ENSMUSG00000050215	43694784	43700807	Olfr70	-1	4
ENSMUSG00000062464	32621309	32636184	Cyp4f37	1	17
ENSMUSG00000109509	30484701	30485097	Rps12-ps4	-1	7
ENSMUSG00000107749	71276494	71279348	Gm44321	1	6
ENSMUSG00000032633	59791408	59810016	Flcn	-1	11
ENSMUSG00000006649	30458315	30487223	Nphs1	1	7
ENSMUSG00000087416	129135091	129136910	Gm15906	1	4
ENSMUSG00000100132	3875525	3875928	Gm18177	-1	Y
ENSMUSG00000055027	71213940	71322233	Smyd1	-1	6
ENSMUSG00000111353	8142541	8185129	Gm19324	1	9
ENSMUSG00000097962	112582936	112589996	1700034G24Rik	-1	5
ENSMUSG00000111845	8153761	8154186	Gm7495	-1	9
ENSMUSG00000108774	44156844	44157786	Gm45136	-1	7
ENSMUSG00000101030	3886204	3886566	Gm28429	1	Y
ENSMUSG00000108459	44202703	44204293	Gm44605	-1	7
ENSMUSG00000031998	8221889	8241987	1700128F08Rik	1	9
ENSMUSG00000100641	3905027	3905317	Gm28413	1	Y
ENSMUSG00000103220	31145128	31147419	Gm37728	-1	6
ENSMUSG00000101145	3909381	3909557	Gm28412	1	Y
ENSMUSG00000002731	76629898	76648015	Prkra	-1	2
ENSMUSG00000038968	44136767	44141610	Klk1b16	1	7
ENSMUSG00000100656	3948853	3949713	Gm8525	-1	Y
ENSMUSG00000089749	27314084	27315037	Gm11357	1	13
ENSMUSG00000110828	8476273	8476487	Gm47517	1	9
ENSMUSG00000093909	42456965	42461867	Gm3883	1	4
ENSMUSG00000100082	3950043	3950336	Gm28414	-1	Y
ENSMUSG00000069259	27312627	27319252	Prl6a1	1	13
ENSMUSG00000101712	3968870	3983656	Gm28648	1	Y
ENSMUSG00000061829	23030418	23037957	Vmn1r214	1	13
ENSMUSG00000092035	4747306	4760517	Peg10	1	6
ENSMUSG00000098027	112582645	112583371	Gm27004	1	5
ENSMUSG00000094164	113611187	113611617	Ighv2-3	-1	12
ENSMUSG00000107506	122414104	122414397	Gm19254	1	6
ENSMUSG00000082797	17297577	17298419	Gm12015	-1	11
ENSMUSG00000103494	11363926	11366964	Gm37410	-1	1
ENSMUSG00000027288	120506820	120563843	Zfp106	-1	2
ENSMUSG00000059280	17980428	17981273	Vpreb2	1	16
ENSMUSG00000086646	51189833	51220418	Platr20	-1	11
ENSMUSG00000048481	18991245	19001766	Mypop	1	7
ENSMUSG00000101558	3986025	3986221	Gm28647	-1	Y
ENSMUSG00000108727	44193194	44195628	Gm44779	-1	7
ENSMUSG00000117459	32642725	32653196	Cyp4f38-ps	1	17
ENSMUSG00000063713	44188236	44192455	Klk1b24	1	7
ENSMUSG00000107977	4770900	4772905	Gm44121	1	6
ENSMUSG00000101130	54566703	54567281	Gm19637	1	1
ENSMUSG00000035027	81105915	81133975	Map2k2	1	10
ENSMUSG00000116658	18028664	18031868	Gm49580	1	16
ENSMUSG00000031548	23411502	23449632	Sfrp1	1	8
ENSMUSG00000086265	4248735	4249025	Marcksl1-ps4	1	13
ENSMUSG00000071551	4228700	4252843	Akr1c19	1	13
ENSMUSG00000082886	45546931	45549380	Gm5386	-1	X
ENSMUSG00000084158	45786326	45786560	Gm14652	-1	X
ENSMUSG00000091998	81827698	81828355	Gm17072	1	8
ENSMUSG00000090584	81790558	81790908	Gm17169	-1	8
ENSMUSG00000086533	18993234	19001222	Mypopos	-1	7
ENSMUSG00000037940	81342556	82127914	Inpp4b	1	8
ENSMUSG00000066515	44198191	44202352	Klk1b3	1	7
ENSMUSG00000036968	138187485	138193918	Cnpy4	1	5
ENSMUSG00000026918	27445579	27507662	Brd3	-1	2
ENSMUSG00000041828	110025634	110095978	Abca8a	-1	11
ENSMUSG00000029826	38305286	38354603	Zc3hav1	-1	6
ENSMUSG00000039347	48537615	48541801	Atp6v0e2	1	6
ENSMUSG00000096498	113685482	113686045	Ighv2-5	-1	12
ENSMUSG00000074355	18989554	18992774	Gm10676	-1	7
ENSMUSG00000114394	23042416	23042994	Gm19153	-1	13
ENSMUSG00000111013	93084206	93093727	Gm32468	1	10
ENSMUSG00000114223	101841540	101842306	Gm19108	-1	13
ENSMUSG00000000686	77515121	77538607	Abhd15	1	11
ENSMUSG00000107060	127873563	127877246	Gm38901	-1	6
ENSMUSG00000037962	125003221	125012547	Rflna	1	5
ENSMUSG00000118603	42587458	42589768	BX666061.1	1	4
ENSMUSG00000095779	42466972	42468868	Gm2163	1	4
ENSMUSG00000114762	101855491	101856351	Gm47007	1	13
ENSMUSG00000095258	42552478	42587038	Gm10593	1	4
ENSMUSG00000103185	113687226	113687721	Ighv5-11	-1	12
ENSMUSG00000094066	42522580	42528175	Fam205a2	-1	4
ENSMUSG00000114717	101920420	101922391	Gm17832	1	13
ENSMUSG00000102542	102114117	102116035	Gm38133	-1	13
ENSMUSG00000028782	129984870	130022633	Adgrb2	1	4
ENSMUSG00000082411	17638503	17639183	Gm12016	-1	11
ENSMUSG00000072673	77516660	77519198	Gm10392	-1	11
ENSMUSG00000083124	23056683	23057608	Vmn1r-ps126	1	13
ENSMUSG00000059851	4740115	4747514	Kmt5c	1	7
ENSMUSG00000095429	113702124	113702578	Ighv5-12	-1	12
ENSMUSG00000103027	49207714	49208068	Gm37684	-1	3
ENSMUSG00000018507	62574486	62600515	Trpv2	1	11
ENSMUSG00000081451	77542133	77543080	Gm12734	1	11
ENSMUSG00000102679	49325680	49367359	Gm20557	1	3
ENSMUSG00000114444	102366891	102367152	Gm47008	-1	13
ENSMUSG00000099949	80897654	80898105	Gm29124	-1	1
ENSMUSG00000044328	77508099	77515980	Trp53i13	-1	11
ENSMUSG00000099917	23068025	23078006	Vmn1r215	1	13
ENSMUSG00000096670	113716670	113717103	Ighv2-6	-1	12
ENSMUSG00000049285	138194314	138195621	Mblac1	1	5
ENSMUSG00000044952	97332327	97350213	Kctd21	1	7
ENSMUSG00000090305	31076638	31077435	Gm5459	-1	14
ENSMUSG00000104309	49381333	49382746	Gm5846	-1	3
ENSMUSG00000114245	25172897	25175471	Gm38655	-1	17
ENSMUSG00000039458	12205028	12274496	Mtmr12	1	15
ENSMUSG00000081912	23104296	23104773	Vmn1r-ps127	1	13
ENSMUSG00000115697	23096976	23108732	Vmn1r216	1	13
ENSMUSG00000080861	23103454	23103922	Gm11325	1	13
ENSMUSG00000114846	102563187	102590285	Gm29927	-1	13
ENSMUSG00000111913	118441419	118444140	Gm49751	1	10
ENSMUSG00000115791	23105100	23118226	Vmn1r217	-1	13
ENSMUSG00000055170	118441046	118445892	Ifng	1	10
ENSMUSG00000059939	156109982	156127265	9430015G10Rik	1	4
ENSMUSG00000103240	113718318	113719231	Gm37976	-1	12
ENSMUSG00000038866	105990406	106034074	Zcchc2	1	1
ENSMUSG00000114730	102604533	102606903	Gm47014	1	13
ENSMUSG00000020649	24708241	24714146	Rrm2	1	12
ENSMUSG00000071637	15887286	15891031	Cebpd	1	16
ENSMUSG00000030351	127887589	127953977	Tspan11	1	6
ENSMUSG00000046230	16615366	16780933	Vps13a	-1	19
ENSMUSG00000063881	73371246	73377836	Olfr376	1	11
ENSMUSG00000097691	128971197	128978115	9030616G12Rik	1	10
ENSMUSG00000069430	128989431	128992102	Olfr9	1	10
ENSMUSG00000074955	111867657	111877149	Olfr1305	-1	2
ENSMUSG00000104437	49530750	49531310	Gm37424	1	3
ENSMUSG00000063374	129010791	129013313	Olfr763	1	10
ENSMUSG00000083143	31660470	31661427	Gm13424	1	2
ENSMUSG00000067722	25184554	25187662	BC003965	1	17
ENSMUSG00000017291	77529162	77607815	Taok1	-1	11
ENSMUSG00000057554	12439415	12464944	Lgals8	-1	13
ENSMUSG00000061947	103614786	103631444	Serpina10	-1	12
ENSMUSG00000085813	127934689	127944839	Gm15870	-1	6
ENSMUSG00000100068	35497455	35499717	Gm18558	-1	7
ENSMUSG00000030491	35469098	35537745	Tdrd12	-1	7
ENSMUSG00000116837	18694403	18707120	Vmn2r-ps115	1	17
ENSMUSG00000081264	121700765	121701725	Gm14021	-1	2
ENSMUSG00000084244	121718530	121719191	Gm14020	1	2
ENSMUSG00000093602	18763260	18764811	Vmn2r-ps116	1	17
ENSMUSG00000083381	33604264	33606052	Scgb2b22-ps	-1	7
ENSMUSG00000097550	104168515	104170983	Gm21304	1	10
ENSMUSG00000079892	33614622	33615807	Scgb1b22-ps	1	7
ENSMUSG00000027238	121545529	121807087	Frmd5	-1	2
ENSMUSG00000095398	55553147	55568358	Gm16404	1	X
ENSMUSG00000081298	55699744	55722121	Gm14622	1	X
ENSMUSG00000079893	33635164	33635533	Scgb1b23-ps	1	7
ENSMUSG00000096374	55798272	55816903	Gm6664	1	X
ENSMUSG00000083896	33625145	33653281	Scgb2b23-ps	-1	7
ENSMUSG00000084369	55839252	55842041	Gm14626	1	X
ENSMUSG00000093531	18810835	18841654	Vmn2r-ps117	1	17
ENSMUSG00000081706	55845759	55846638	Gm7927	-1	X
ENSMUSG00000026946	51948487	51973494	Nmi	-1	2
ENSMUSG00000094144	104177024	104179491	Gm21312	1	10
ENSMUSG00000031562	48099092	48153233	Dctd	1	8
ENSMUSG00000096596	42612121	42613253	Gm10591	1	4
ENSMUSG00000027463	151996511	152009258	Slc52a3	1	2
ENSMUSG00000027751	54692807	54728766	Supt20	1	3
ENSMUSG00000091491	18914300	18958087	Vmn2r97	1	17
ENSMUSG00000100344	61980930	61981207	Gm29640	-1	1
ENSMUSG00000103002	61805221	61806140	Gm38075	1	1
ENSMUSG00000085842	61767415	61851540	Pard3bos1	-1	1
ENSMUSG00000097746	3336680	3366863	Gm6225	1	18
ENSMUSG00000100750	62534491	62535942	Gm29084	-1	1
ENSMUSG00000102359	62247153	62249670	Gm38351	1	1
ENSMUSG00000104081	61702527	61703891	Gm38278	1	1
ENSMUSG00000101509	62095081	62095339	Gm29641	-1	1
ENSMUSG00000085019	62131195	62136109	Pard3bos2	-1	1
ENSMUSG00000104402	61677249	61680277	Gm38012	1	1
ENSMUSG00000063889	3266048	3337748	Crem	-1	18
ENSMUSG00000022322	4735976	4779567	Shcbp1	-1	8
ENSMUSG00000052062	61638824	62642284	Pard3b	1	1
ENSMUSG00000093607	18989621	18990935	Vmn2r-ps118	1	17
ENSMUSG00000095022	104185533	104188000	Gm20765	1	10
ENSMUSG00000096717	19053460	19082411	Vmn2r98	1	17
ENSMUSG00000114891	80822247	80838491	Gm47272	1	18
ENSMUSG00000042734	81631249	81667557	Ttc9	1	12
ENSMUSG00000022351	59315077	59331192	Sqle	1	15
ENSMUSG00000085593	151376470	151379582	4930589P08Rik	1	4
ENSMUSG00000045075	95696894	95699143	Gm9796	-1	11
ENSMUSG00000028955	151047300	151057963	Vamp3	-1	4
ENSMUSG00000042724	81721010	81781175	Map3k9	-1	12
ENSMUSG00000105039	125238314	125272815	Gm32585	-1	5
ENSMUSG00000027305	119655446	119662827	Ndufaf1	-1	2
ENSMUSG00000028524	102741297	102973628	Sgip1	1	4
ENSMUSG00000085723	93674218	93683322	Gm15915	-1	10
ENSMUSG00000028965	150914562	150946102	Tnfrsf9	1	4
ENSMUSG00000038811	95837216	95845734	Gngt2	1	11
ENSMUSG00000086891	93726726	93728207	Gm15963	-1	10
ENSMUSG00000001334	129136999	129144593	Fndc5	1	4
ENSMUSG00000046450	43704562	43710255	Olfr71	-1	4
ENSMUSG00000020019	93640681	93747207	Ntn4	1	10
ENSMUSG00000102645	113612989	113613442	Ighv5-5	-1	12
ENSMUSG00000109462	4778042	4778269	Gm6334	1	8
ENSMUSG00000091938	42629897	42631507	Gm2564	1	4
ENSMUSG00000082306	27331428	27334404	Gm11358	1	13
ENSMUSG00000044030	19004044	19006777	Irf2bp1	1	7
ENSMUSG00000071001	43727188	43728639	Hrct1	1	4
ENSMUSG00000031831	119575235	119598454	Dnaaf1	1	8
ENSMUSG00000016984	17938756	17953875	Etaa1	-1	11
ENSMUSG00000096796	24064793	24066452	1700021P04Rik	1	19
ENSMUSG00000102063	125444567	125447398	Gm28706	1	1
ENSMUSG00000108145	51694309	51711081	Gm38811	-1	6
ENSMUSG00000110404	156130513	156133420	Rnf223	1	4
ENSMUSG00000110874	45807562	45852283	D030045P18Rik	1	10
ENSMUSG00000038459	84109356	84151893	Abhd17c	-1	7
ENSMUSG00000002997	31958476	32061296	Prkar2b	-1	12
ENSMUSG00000113184	81717830	81720052	Gm49654	-1	12
ENSMUSG00000110841	45875291	45876086	Gpx4-ps2	1	10
ENSMUSG00000078612	104913456	105016863	Fyb2	1	4
ENSMUSG00000028381	59189257	59222833	Ugcg	1	4
ENSMUSG00000038690	145183698	145192062	Atp5j2	-1	5
ENSMUSG00000087009	30462164	30465591	Nphs1os	-1	7
ENSMUSG00000083249	55862223	55876613	Gm14623	1	X
ENSMUSG00000090159	93665383	93665846	Gm8580	-1	10
